Change%,Company,Company2,Price,Volume,Low,High
▲ 0.88%,ALNY,"Alnylam Pharmaceuticals, Inc",154.44,19966,154.12,154.44
▲ 3.90%,ALT,"Altimmune, Inc",26.63,0,26.63,26.63
▼ -2.10%,AMAG,"AMAG Pharmaceuticals, Inc",9.79,83448,9.74,9.99
▼ -0.31%,AMRN,Amarin Corporation plc,6.5,542912,6.475,6.535
▲ 0.55%,AMED,"Amedisys, Inc",215.93,3995,215,217.19
▼ -0.57%,ABC,AmerisourceBergen Corporation,103.17,44776,102.63,103.27
▲ 0.70%,AMGN,Amgen Inc,249.705,145231,247.345,250.495
▲ 1.75%,FOLD,"Amicus Therapeutics, Inc",14.805,83384,14.655,14.805
▼ -1.86%,AMRX,"Amneal Pharmaceuticals, Inc",4.21,143044,4.21,4.235
▲ 0.13%,AMN,"AMN Healthcare Services, Inc",54.11,14173,54.11,54.11
▲ 0.35%,AMPH,"Amphastar Pharmaceuticals, Inc",20.05,2530,19.995,20.05
▲ 27.08%,AMPE,"Ampio Pharmaceuticals, Inc",1.22,3474575,1.14,1.22
▼ -0.62%,ANAB,"AnaptysBio, Inc",19.26,0,19.26,19.26
▼ -1.43%,ANGO,"AngioDynamics, Inc",8.99,8171,8.99,8.99
▼ -0.04%,ANIP,"ANI Pharmaceuticals, Inc",26.5,1423,26.5,26.5
▲ 0.18%,ATRS,"Antares Pharma, Inc",2.735,29989,2.735,2.745
▼ -0.98%,ANTM,"Anthem, Inc",267.84,81868,267.84,269
▲ 0.30%,APLS,"Apellis Pharmaceuticals, Inc",28.015,25978,27.935,28.24
▲ 6.56%,APHA,Aphria Inc,5.445,1766617,5.24,5.445
▲ 2.32%,AMTI,Applied Molecular Transport Inc.,21.845,13902,21.845,21.85
▲ 0.12%,APRE,"Aprea Therapeutics, Inc",26.03,1454,26.03,26.18
▲ 1.99%,APVO,Aptevo Therapeutics Inc,8.22,1123,8.22,8.22
▲ 2.08%,APTO,Aptose Biosciences Inc,5.155,50457,5.06,5.16
▲ 2.64%,AQST,"Aquestive Therapeutics, Inc",5.24,38971,5.24,5.25
▲ 1.64%,ARAV,"Aravive, Inc",8.04,699,8.04,8.04
▲ 10.79%,ABUS,Arbutus Biopharma Corporation,5.495,7768183,5.12,5.71
▲ 0.94%,ABIO,"ARCA biopharma, Inc",6.975,64205,6.975,6.975
▲ 4.93%,ARCT,Arcturus Therapeutics Holdings Inc,56.35,70609,54.66,56.35
▼ -0.77%,RCUS,"Arcus Biosciences, Inc",21.98,34115,21.965,22.105
▲ 0.47%,ARDX,"Ardelyx, Inc",6.35,4896,6.35,6.35
▲ 1.92%,ARNA,"Arena Pharmaceuticals, Inc",63.57,27427,62.95,63.62
▲ 2.24%,ARGX,argenx SE,256.95,15313,256.345,257.075
▲ 2.14%,ARWR,"Arrowhead Pharmaceuticals, Inc",47.2,34366,46.45,47.2
▲ 0.98%,ARVN,"Arvinas, Inc",34.405,21302,34.28,34.965
▲ 0.35%,ASND,Ascendis Pharma A/S,138.5,2982,137.94,138.52
▲ 1.29%,AWH,Aspira Women's Health Inc.,4.325,8110,4.27,4.325
▲ 0.97%,AZN,AstraZeneca PLC,56.34,1091626,56.075,56.485
▲ 0.58%,ATRA,"Atara Biotherapeutics, Inc",13.89,17999,13.81,13.89
▲ 1.15%,ATNX,"Athenex, Inc",11.48,25230,11.39,11.54
0.00%,ATHX,"Athersys, Inc",2.81,378901,2.755,2.825
▲ 0.72%,BCEL,"Atreca, Inc",13.98,6457,13.98,13.98
▲ 0.78%,ATRC,"AtriCure, Inc",44.94,4011,44.22,45.04
▼ -0.43%,AUPH,Aurinia Pharmaceuticals Inc,13.86,268264,13.77,14
▲ 2.21%,ACB,Aurora Cannabis Inc,10.63,355429,10.305,10.63
▼ -1.01%,AUTL,Autolus Therapeutics plc,13.79,3340,13.79,13.79
▲ 0.24%,AVDL,Avadel Pharmaceuticals plc,8.36,107022,8.36,8.36
▼ -0.41%,AVNS,"Avanos Medical, Inc",31.63,3805,31.63,31.88
▲ 1.25%,CDMO,"Avid Bioservices, Inc",6.875,38215,6.745,6.875
▲ 1.43%,RNA,Avidity Biosciences Inc,24.06,2496,24.04,24.065
▲ 1.70%,AXLA,Axcella Health Inc,4.485,18897,4.35,4.485
▼ -0.09%,AXGN,"AxoGen, Inc",11.75,9664,11.51,11.75
▲ 1.28%,AXNX,"Axonics Modulation Technologies, Inc",39.63,13279,39.63,39.71
▲ 1.00%,AXGT,Axovant Gene Therapies Ltd,3.02,14384,3.02,3.02
▲ 0.50%,AXSM,"Axsome Therapeutics, Inc",77.735,21151,77.275,78.62
▲ 1.09%,AYTU,"Aytu BioScience, Inc",1.395,537365,1.395,1.41
▼ -1.82%,BXRX,Baudax Bio Inc,3.24,41372,3.235,3.25
▲ 2.70%,BHC,Bausch Health Companies Inc,17.51,239964,17.065,17.545
▼ -0.12%,BAX,Baxter International Inc,89.15,88335,89.15,89.485
▲ 0.01%,BDX,"Becton, Dickinson and Company",271.92,56001,270.1,271.92
▼ -0.92%,BGNE,"BeiGene, Ltd",222.38,9048,222.38,223.32
▲ 0.29%,BLCM,"Bellicum Pharmaceuticals, Inc",6.83,4200,6.83,7.21
▼ -1.18%,BLU,BELLUS Health Inc,2.52,294231,2.52,2.56
0.00%,BFYT,Benefytt Technologies Inc. Class A,31.05,36541,31.05,31.05
▼ -4.53%,BCDA,"BioCardia, Inc",2.53,520,2.53,2.53
▼ -2.23%,BIOC,"Biocept, Inc",0.6942,1154070,0.6942,0.6942
▲ 0.45%,BCRX,"BioCryst Pharmaceuticals, Inc",4.47,424372,4.465,4.53
▼ -0.61%,BDSI,"BioDelivery Sciences International, Inc",4.045,52329,4.045,4.08
▲ 3.78%,BIIB,Biogen Inc,282.63,304010,279.78,283.37
▲ 0.46%,BHVN,Biohaven Pharmaceutical Holding Company Ltd,69.97,7947,69.68,69.97
▲ 0.72%,BLFS,"BioLife Solutions, Inc",19.7,6775,19.7,19.7
▼ -0.49%,BLRX,BioLineRx Ltd,2.04,38518,2.04,2.04
▲ 0.76%,BMRN,BioMarin Pharmaceutical Inc,123.89,39548,123.7,124.05
▼ -6.74%,BNGO,"Bionano Genomics, Inc",0.83,8221805,0.83,0.855
▲ 1.28%,BVXV,BiondVax Pharmaceuticals Ltd,41.01,11146,41.01,41.34
▲ 0.73%,BIO,"Bio-Rad Laboratories, Inc",519.5,4831,518.49,519.5
▼ -1.39%,BSGM,"BioSig Technologies, Inc",8.185,88886,8.185,8.275
▲ 0.86%,BSTC,BioSpecifics Technologies Corp,62.995,0,62.995,62.995
▲ 0.88%,TECH,Bio-Techne Corporation,272.46,4700,271.1,273.79
▲ 1.18%,BEAT,"BioTelemetry, Inc",40.36,0,40.36,40.36
▲ 0.58%,BTAI,"BioXcel Therapeutics, Inc",61.11,3985,61.11,61.11
▲ 9.57%,BDTX,Black Diamond Therapeutics Inc.,29.89,95527,29.65,30.015
▲ 0.05%,BLUE,"bluebird bio, Inc",64.27,45644,64.24,65.175
▲ 0.58%,BPMC,Blueprint Medicines Corporation,75.1,10801,75.08,75.195
▼ -0.48%,BSX,Boston Scientific Corporation,38.415,557489,38.16,38.59
▲ 1.03%,BCLI,Brainstorm Cell Therapeutics Inc,15.75,10162,15.75,15.75
▲ 0.41%,BBIO,"BridgeBio Pharma, Inc",30.375,2264,30.375,30.375
▲ 0.31%,BMY,Bristol-Myers Squibb Company,58.03,739390,57.41,58.05
▲ 6.39%,BKD,Brookdale Senior Living Inc,2.83,1216308,2.62,2.83
▲ 1.02%,BRKR,Bruker Corporation,43.37,8837,43.265,43.43
▼ -0.40%,CALA,"Calithera Biosciences, Inc",4.99,36164,4.965,5.04
▲ 11.90%,CANF,Can-Fite BioPharma Ltd,2.82,1931867,2.72,2.855
▲ 3.52%,CGC,Canopy Growth Corporation,17.05,607139,16.63,17.125
▼ -0.64%,CMD,Cantel Medical Corp,51.37,9187,50.85,51.37
▲ 10.49%,CAPR,"Capricor Therapeutics, Inc",8.53,1902656,7.37,8.56
▼ -0.37%,CAH,"Cardinal Health, Inc",56.29,94206,55.75,56.29
▲ 0.44%,CSII,"Cardiovascular Systems, Inc",29.74,2306,29.74,29.74
▲ 1.53%,CDNA,"CareDx, Inc",33.09,18196,33.065,33.1
▲ 11.08%,CASI,"CASI Pharmaceuticals, Inc",2.155,941894,2,2.245
▲ 2.25%,CSLT,"Castlight Health, Inc",1.135,189101,1.135,1.155
▲ 1.37%,CTLT,"Catalent, Inc",82.76,52286,82.155,83.02
▼ -0.90%,CBIO,"Catalyst Biosciences, Inc",5.52,19263,5.485,5.52
0.00%,CPRX,"Catalyst Pharmaceuticals, Inc",4.72,79765,4.7,4.73
▲ 1.85%,CLDX,"Celldex Therapeutics, Inc",11.04,34828,11.04,11.04
▲ 1.37%,CLLS,Cellectis S.A,16.645,3657,16.645,16.645
▼ -0.08%,CVM,CEL-SCI Corporation,13.28,29254,13.28,13.31
▼ -1.38%,CNC,Centene Corporation,66.58,298773,65.99,66.705
▼ -0.19%,CERN,Cerner Corporation,71.655,117492,71.33,71.96
▲ 1.53%,CERS,Cerus Corporation,6.64,125873,6.61,6.66
▲ 1.53%,CHNG,Change Healthcare Inc,11.595,309531,11.545,11.625
▲ 1.06%,CRL,"Charles River Laboratories International, Inc",194.88,4911,193.22,194.88
▲ 2.16%,CKPT,"Checkpoint Therapeutics, Inc",2.36,55291,2.36,2.36
▲ 2.17%,CEMI,"Chembio Diagnostics, Inc",5.18,752345,5.115,5.29
▲ 1.98%,CCXI,"ChemoCentryx, Inc",53.235,21727,52.75,53.235
▲ 13.58%,CHFS,"CHF Solutions, Inc",0.92,8139548,0.9149,0.95
▲ 1.16%,CMRX,"Chimerix, Inc",3.49,17076,3.415,3.49
▼ -2.40%,CJJD,"China Jo-Jo Drugstores, Inc",1.22,38846,1.22,1.22
▼ -1.47%,CI,Cigna Corporation,178.355,158709,177.98,179.61
▲ 6.86%,CLPT,ClearPoint Neuro Inc.,4.83,8546,4.69,4.83
▲ 3.46%,CBLI,"Cleveland BioLabs, Inc",2.69,8643,2.69,2.69
▲ 1.54%,CLVS,"Clovis Oncology, Inc",6.245,399942,6.12,6.245
▲ 0.61%,CDXS,"Codexis, Inc",11.5,6353,11.5,11.5
▲ 2.36%,CODX,"Co-Diagnostics, Inc",22.335,150240,22,22.335
▲ 0.49%,CHRS,"Coherus BioSciences, Inc",18.37,74783,18.37,18.43
▲ 0.54%,COLL,"Collegium Pharmaceutical, Inc",16.86,3773,16.86,16.86
▼ -0.38%,CYH,"Community Health Systems, Inc",3.885,67881,3.875,3.955
▲ 2.15%,CGEN,Compugen Ltd,14.46,115596,14.46,14.8
▲ 1.27%,CNST,"Constellation Pharmaceuticals, Inc",28.325,5374,27.995,28.53
▼ -0.67%,CFRX,ContraFect Corporation,5.96,3989,5.96,5.96
▲ 1.30%,CRBP,"Corbus Pharmaceuticals Holdings, Inc",7,143522,6.94,7.06
▲ 1.61%,CORT,Corcept Therapeutics Incorporated,16.37,19110,16.15,16.37
0.00%,CRMD,"CorMedix, Inc",5.84,14937,5.84,5.84
▲ 0.62%,CRTX,"Cortexyme, Inc",42.985,1040,42.985,42.985
▼ -0.70%,CRVS,"Corvus Pharmaceuticals, Inc",4.26,4841,4.26,4.26
▼ -0.58%,CVET,"Covetrus, Inc",20.43,54399,20.225,20.6
▲ 1.57%,CRHM,CRH Medical Corporation,2.265,2322,2.265,2.265
▲ 0.93%,CRNX,"Crinetics Pharmaceuticals, Inc",14.15,7835,13.8,14.15
▲ 0.40%,CRSP,CRISPR Therapeutics AG,90.71,50911,90.53,91.27
▲ 3.09%,CRON,Cronos Group Inc,6.505,654982,6.35,6.52
▲ 0.94%,CRY,"CryoLife, Inc",19.38,3754,19.35,19.38
▲ 2.88%,CUE,"Cue Biopharma, Inc",19.795,5785,19.355,19.94
▲ 0.78%,CRIS,"Curis, Inc",1.3,57410,1.3,1.3
▲ 0.44%,CUTR,"Cutera, Inc",13.71,10369,13.71,13.81
▼ -1.51%,CVS,CVS Health Corporation,62.37,1026961,62.22,62.93
0.00%,CYCN,"Cyclerion Therapeutics, Inc",3.46,26349,3.46,3.48
▼ -2.25%,CBAY,"CymaBay Therapeutics, Inc",4.125,211317,4.12,4.17
▲ 1.08%,CYTK,"Cytokinetics, Incorporated",23.33,7602,23.33,23.33
▲ 1.61%,CTMX,"CytomX Therapeutics, Inc",7.885,18010,7.84,7.885
▲ 0.72%,CTSO,Cytosorbents Corporation,9.85,19332,9.79,9.89
▲ 1.00%,DHR,Danaher Corporation,197.22,220427,195.6,197.805
▼ -0.70%,DVA,DaVita Inc,86.715,16227,86.5,86.715
▼ -0.38%,DCPH,"Deciphera Pharmaceuticals, Inc",47.57,6256,47.27,47.57
▲ 1.86%,DNLI,Denali Therapeutics Inc,23.56,5507,23.56,23.56
▼ -1.16%,XRAY,DENTSPLY SIRONA Inc,42.74,48385,42.685,43.24
▲ 0.44%,DXCM,"DexCom, Inc",423.605,101363,420.11,428.49
▲ 1.25%,DRNA,"Dicerna Pharmaceuticals, Inc",23.44,2598,23.355,23.44
▼ -13.64%,DFFN,Diffusion Pharmaceuticals Inc,1.14,2539996,1.1,1.14
▼ -1.12%,RDY,Dr. Reddy's Laboratories Limited,53.9,6267,53.78,53.91
▲ 2.74%,DRRX,DURECT Corporation,2.065,26340,2.02,2.065
▼ -1.33%,DYAI,"Dyadic International, Inc",8.56,6788,8.56,8.625
▲ 2.76%,DVAX,Dynavax Technologies Corporation,9.125,594881,9.055,9.135
▲ 1.41%,EGRX,"Eagle Pharmaceuticals, Inc",48.34,863,48.34,48.34
▲ 1.87%,EDIT,"Editas Medicine, Inc",30.44,49057,30.23,30.6
▲ 0.18%,EW,Edwards Lifesciences Corporation,78.27,207183,77.605,78.39
▲ 1.93%,EIDX,"Eidos Therapeutics, Inc",44.8,1238,44.8,44.8
▲ 1.32%,EIGR,"Eiger BioPharmaceuticals, Inc",10.355,16776,10.35,10.425
▼ -8.41%,ELAN,Elanco Animal Health Incorporated,21.605,1828774,21.515,23.02
▲ 0.12%,LLY,Eli Lilly and Company,159.765,250018,159.01,160.065
▲ 3.46%,EBS,Emergent BioSolutions Inc,92.98,123442,90.59,92.98
▲ 0.66%,EHC,Encompass Health Corporation,66.475,41234,65.555,66.475
▼ -2.12%,ENDP,Endo International plc,3.23,496309,3.2,3.29
▼ -5.45%,ENTX,Entera Bio Ltd,1.91,68550,1.91,1.91
▼ -1.03%,NVST,Envista Holdings Corporation,22.01,19239,22.01,22.01
▲ 1.08%,EPZM,"Epizyme, Inc",14.485,14815,14.285,14.485
▲ 1.08%,ESPR,"Esperion Therapeutics, Inc",40.4,56105,40.16,40.76
▼ -1.86%,EPIX,ESSA Pharma Inc,6.32,2,6.32,6.32
▼ -1.99%,EVLO,"Evelo Biosciences, Inc",3.94,1187,3.94,3.94
▲ 2.59%,EVOK,"Evoke Pharma, Inc",3.56,26699,3.56,3.56
▲ 0.57%,EVH,"Evolent Health, Inc",10.61,23474,10.475,10.61
▲ 0.07%,EXAS,Exact Sciences Corporation,95.46,41929,95.04,95.56
▲ 1.46%,EXEL,"Exelixis, Inc",24.95,55406,24.61,24.965
▼ -3.84%,EYEN,"Eyenovia, Inc",3.76,27833,3.76,3.76
▲ 0.56%,FATE,"Fate Therapeutics, Inc",32.08,32169,32,32.33
▲ 1.05%,FGEN,"FibroGen, Inc",42.915,7878,42.915,42.915
▲ 0.81%,FPRX,"Five Prime Therapeutics, Inc",5.595,6851,5.595,5.595
▲ 0.48%,FLXN,"Flexion Therapeutics, Inc",12.45,11809,12.4,12.45
▲ 2.33%,FLDM,Fluidigm Corporation,5.72,238247,5.655,5.9
▲ 0.19%,FONR,FONAR Corporation,23.795,255,23.795,23.795
▲ 0.33%,FBRX,Forte Biosciences Inc.,21.43,10170,21.43,21.55
▲ 3.31%,FBIO,"Fortress Biotech, Inc",2.965,37042,2.965,2.965
▲ 0.27%,FREQ,"FREQUENCY THERAPEUTICS, INC",22.54,5816,22.54,22.54
▲ 10.05%,FLGT,"Fulgent Genetics, Inc",21.47,39669,20.7,21.47
▼ -0.40%,GTHX,"G1 Therapeutics, Inc",17.47,19224,17.38,17.47
▲ 0.68%,GMDA,Gamida Cell Ltd,4.44,8256,4.425,4.44
▲ 6.18%,GBIO,Generation Bio Co.,21.31,2362,20.08,21.31
▲ 1.22%,GENE,Genetic Technologies Limited,4.14,0,4.14,4.14
▲ 1.11%,GMAB,Genmab A/S,35.49,65850,35.49,35.49
▲ 3.54%,GNMK,"GenMark Diagnostics, Inc",17.395,60587,17.195,17.395
▲ 17.63%,GNCA,"Genocea Biosciences, Inc",5.27,2719608,4.77,5.685
▲ 0.39%,GILD,"Gilead Sciences, Inc",73.93,902974,73.35,74.035
▼ -0.57%,GKOS,Glaukos Corporation,39.83,6579,39.83,39.91
▲ 1.23%,GSK,GlaxoSmithKline plc,40.785,428502,40.615,40.785
▲ 0.38%,GBT,"Global Blood Therapeutics, Inc",72.01,9486,71.44,72.135
▲ 1.04%,GMED,"Globus Medical, Inc",48.945,25859,48.72,48.945
▲ 0.45%,GLYC,"GlycoMimetics, Inc",4.49,4059,4.49,4.49
▲ 1.92%,GOSS,"Gossamer Bio, Inc",13.83,34624,13.665,13.88
▲ 0.94%,GRFS,"Grifols, S.A",18.705,40966,18.655,18.705
▲ 1.10%,GRTS,"Gritstone Oncology, Inc",3.69,35722,3.61,3.69
▲ 0.06%,GH,"Guardant Health, Inc",81.65,39147,81.29,82.535
▼ -0.46%,GHSI,"Guardion Health Sciences, Inc",0.436,141663,0.436,0.436
▲ 1.07%,GWPH,GW Pharmaceuticals plc,127.525,9845,127,127.525
▼ -0.30%,HAE,Haemonetics Corporation,90.91,8824,90.91,91.265
▲ 0.57%,HALO,"Halozyme Therapeutics, Inc",27.325,16510,27.17,27.325
▼ -12.88%,HAPP,Happiness Biotech Group Ltd,2.3,214441,2.3,2.35
▲ 2.79%,HARP,"Harpoon Therapeutics, Inc",13.25,5607,13.25,13.285
▼ -2.86%,HROW,"Harrow Health, Inc",5.44,16724,5.44,5.455
▼ -0.16%,HBIO,"Harvard Bioscience, Inc",3.175,4596,3.16,3.175
▼ -0.61%,HCA,"HCA Healthcare, Inc",124.74,206122,123.91,125.235
▲ 0.63%,HCSG,"Healthcare Services Group, Inc",26.325,20978,26.085,26.425
▼ -0.29%,HCAT,"Health Catalyst, Inc",35.875,11066,35.81,36.01
▼ -1.81%,HQY,"HealthEquity, Inc",54.29,23784,54.09,55.24
▼ -1.13%,HSTM,"HealthStream, Inc",21.475,4319,21.475,21.495
▲ 5.78%,HTBX,"Heat Biologics, Inc",2.655,3550914,2.6,2.72
▼ -1.68%,HSIC,"Henry Schein, Inc",65.905,79426,65.775,66.74
▲ 2.20%,HRTX,"Heron Therapeutics, Inc",16.75,52303,16.54,16.75
▼ -0.11%,HRC,"Hill-Rom Holdings, Inc",116.11,28926,114.85,116.23
▼ -0.89%,HMSY,HMS Holdings Corp,31.715,0,31.715,31.715
▲ 0.10%,HOLX,"Hologic, Inc",61.81,62431,61.45,62.125
▲ 1.90%,FIXX,"Homology Medicines, Inc",15.05,177161,14.99,15.33
▲ 1.61%,HZNP,Horizon Therapeutics Public Limited Company,59.41,52714,59.065,59.605
▼ -0.31%,HTGM,"HTG Molecular Diagnostics, Inc",0.65,345940,0.65,0.65
▼ -0.84%,HUM,Humana Inc,388.865,21709,388.865,391.99
▼ -0.93%,HCM,Hutchison China MediTech Limited,25.56,4583,25.56,25.56
▼ -4.18%,IBIO,"iBio, Inc",5.27,2928634,5.03,5.275
▼ -0.21%,ICAD,"iCAD, Inc",9.64,8694,9.54,9.75
▲ 0.35%,ICLR,ICON Public Limited Company,185.705,7196,185.705,188.76
▲ 2.65%,IDYA,"IDEAYA Biosciences, Inc",12.215,2341,12.215,12.215
▲ 1.47%,IDXX,"IDEXX Laboratories, Inc",364.51,26433,359.72,364.51
▲ 0.63%,IGMS,"IGM Biosciences, Inc",53.92,1863,53.92,53.92
▲ 1.64%,ILMN,"Illumina, Inc",388.515,55041,384.32,389.42
▲ 5.13%,IMUX,"Immunic, Inc",16.59,24728,16.59,16.59
▲ 2.96%,IMGN,"ImmunoGen, Inc",4.355,127817,4.25,4.355
▲ 4.76%,IMMU,"Immunomedics, Inc",43.17,351148,42.06,43.17
▲ 1.52%,IMVT,Immunovant Inc,24.78,6993,24.78,24.8
▼ -5.36%,IMRN,Immuron Limited,12.19,0,12.19,12.19
▲ 1.97%,IMV,IMV Inc,5.17,218613,5.1,5.3
▲ 3.50%,NARI,Inari Medical Inc.,56.73,28653,55.62,57.29
▲ 2.09%,INCY,Incyte Corporation,101.5,45099,100.4,101.66
▲ 1.70%,IFRX,InflaRx N.V,4.78,71579,4.78,4.78
▲ 1.89%,INMD,InMode Ltd,32.39,19522,32.245,32.43
▲ 3.25%,INVA,"Innoviva, Inc",13.68,33333,13.33,13.765
▼ -1.38%,INGN,"Inogen, Inc",31.47,23766,31.47,32.085
▲ 0.19%,INOV,"Inovalon Holdings, Inc",21.36,4299,21.36,21.36
▲ 2.72%,INO,"Inovio Pharmaceuticals, Inc",22.505,2062280,22.5,23.01
▲ 1.67%,INSM,Insmed Incorporated,26.435,7865,26.2,26.76
▲ 0.15%,INSP,"Inspire Medical Systems, Inc",99.89,8279,99.89,99.89
▲ 0.50%,PODD,Insulet Corporation,197.68,6644,193.86,197.68
▼ -2.81%,NTEC,Intec Pharma Ltd,0.4325,1360769,0.4325,0.4325
▼ -1.25%,IART,Integra LifeSciences Holdings Corporation,47.785,1995,47.785,47.785
▲ 1.64%,NTLA,"Intellia Therapeutics, Inc",19.465,20044,19.395,19.465
▼ -0.07%,ICPT,"Intercept Pharmaceuticals, Inc",45.4,16300,44.955,45.575
▲ 1.35%,ITCI,"Intra-Cellular Therapies, Inc",21.7,22210,21.535,21.8
▲ 1.30%,IIN,IntriCon Corporation,11.72,1491,11.72,11.785
▲ 0.13%,ISRG,"Intuitive Surgical, Inc",676.185,59957,668.38,676.185
▼ -0.73%,IVC,Invacare Corporation,6.77,2019,6.77,6.85
▲ 3.36%,NVTA,Invitae Corporation,30.73,114283,30.02,30.73
▲ 1.27%,IONS,"Ionis Pharmaceuticals, Inc",59.7,12559,59.3,59.7
▲ 1.58%,IOVA,"Iovance Biotherapeutics, Inc",28.28,50883,28.03,28.36
▲ 2.05%,IQV,IQVIA Holdings Inc,161.11,45508,158.76,161.11
▲ 1.11%,IRTC,"iRhythm Technologies, Inc",121.97,6194,120.895,121.97
▲ 1.63%,IRWD,"Ironwood Pharmaceuticals, Inc",9.665,80821,9.5,9.665
▲ 1.58%,ISEE,"IVERIC bio, Inc",4.5,8612,4.425,4.5
▲ 7.74%,JAGX,"Jaguar Health, Inc",0.752,3075523,0.74,0.752
▲ 0.61%,JAZZ,Jazz Pharmaceuticals plc,113.575,27906,113.16,113.575
▼ -0.15%,JNJ,Johnson & Johnson,147.9,653112,147.04,147.9
▲ 2.67%,JNCE,"Jounce Therapeutics, Inc",4.99,6336,4.89,4.995
▲ 0.67%,KDMN,"Kadmon Holdings, Inc",3.765,71012,3.725,3.79
▼ -0.62%,KALA,"Kala Pharmaceuticals, Inc",9.66,94104,9.64,9.91
▼ -0.61%,KPTI,Karyopharm Therapeutics Inc,17.81,40016,17.81,17.81
▲ 1.14%,KZIA,Kazia Therapeutics Limited,4.42,4164,4.42,4.42
▲ 0.48%,KROS,Keros Therapeutics Inc.,27.17,1267,27.17,27.17
▲ 1.25%,KZR,"Kezar Life Sciences, Inc",4.85,5699,4.85,4.85
▲ 0.52%,KNSA,"Kiniksa Pharmaceuticals, Ltd",20.135,18844,19.785,20.22
▲ 1.67%,KTOV,Kitov Pharma Ltd,0.7625,1611789,0.7619,0.78
▲ 2.70%,KOD,Kodiak Sciences Inc,46.265,16702,46.18,46.265
▲ 0.44%,KURA,"Kura Oncology, Inc",17.175,11662,16.99,17.175
▼ -0.24%,LH,Laboratory Corporation of America Holdings,198.26,57247,197.46,198.51
