Change%,Company,Company2,Price,Volume,Low,High
▼ -9.15%,GBR,"New Concept Energy, Inc",1.29,38686,1.29,1.29
▼ -1.95%,NR,"Newpark Resources, Inc",2.015,22187,2.015,2.015
▲ 1.08%,NXE,NexGen Energy Ltd,1.87,89869,1.87,1.87
▼ -1.31%,NEX,NexTier Oilfield Solutions Inc.,2.635,55011,2.635,2.635
▼ -2.51%,NE,Noble Corporation plc,0.2642,996222,0.2609,0.2668
▼ -0.78%,NBL,"Noble Energy, Inc",10.805,1416833,10.65,10.835
▲ 2.86%,NBLX,Noble Midstream Partners LP,8.64,41794,8.58,8.675
▲ 1.38%,NOG,"Northern Oil and Gas, Inc",0.8109,419425,0.805,0.815
▼ -1.89%,DNOW,NOW Inc,8.575,25144,8.575,8.7
▼ -0.55%,OMP,Oasis Midstream Partners LP,8.195,7974,8.195,8.2
▲ 1.64%,OAS,Oasis Petroleum Inc,0.7134,693600,0.7134,0.7134
▼ -0.15%,OXY,Occidental Petroleum Corporation,16.715,1515246,16.455,16.745
▼ -1.69%,OII,"Oceaneering International, Inc",5.81,37546,5.81,5.81
▼ -0.67%,OIS,"Oil States International, Inc",5.215,103920,5.175,5.22
▼ -1.74%,OKE,"ONEOK, Inc",28.22,568628,27.93,28.87
▲ 0.86%,OVV,Ovintiv Inc,11.105,343482,10.965,11.125
▲ 1.11%,ROYT,Pacific Coast Oil Trust,0.3747,69702,0.3747,0.3747
▲ 0.46%,PARR,"Par Pacific Holdings, Inc",8.77,2840,8.77,8.77
▼ -0.84%,PE,"Parsley Energy, Inc",11.255,343659,11.15,11.335
▼ -1.40%,PTEN,"Patterson-UTI Energy, Inc",3.875,238347,3.825,3.95
▼ -0.75%,PBF,PBF Energy Inc,8.615,347254,8.445,8.62
▼ -1.61%,PDCE,"PDC Energy, Inc",14.975,55064,14.905,15.18
▼ -4.84%,BTU,Peabody Energy Corporation,3.245,521013,3.19,3.375
▼ -0.79%,PVAC,Penn Virginia Corporation,11.27,72446,11.13,11.5
▼ -1.24%,PTR,PetroChina Company Limited,35.96,3480,35.9,35.96
▼ -1.17%,PBR,Petroleo Brasileiro S.A. - Petrobras,8.895,887415,8.835,8.95
▼ -0.63%,PBR.A,Petroleo Brasileiro S.A. - Petrobras,8.735,255129,8.63,8.735
▼ -0.89%,PSX,Phillips 66,64.48,168323,63.65,64.57
▲ 0.59%,PSXP,Phillips 66 Partners LP,30.47,21450,30.35,30.47
▼ -0.74%,PXD,Pioneer Natural Resources Company,98.94,97416,98.435,99.35
▲ 0.12%,PAA,"Plains All American Pipeline, L.P",8.01,273554,7.98,8.07
▼ -0.30%,PAGP,"Plains GP Holdings, L.P",8.185,117026,8.125,8.185
▼ -1.59%,PUMP,ProPetro Holding Corp,5.57,63989,5.5,5.57
▲ 0.31%,QEP,"QEP Resources, Inc",1.625,597867,1.57,1.625
▼ -8.32%,RRC,Range Resources Corporation,6.17,723747,6.17,6.52
▼ -2.01%,RTLR,Rattler Midstream LP,7.81,2658,7.81,7.81
▲ 0.85%,REGI,"Renewable Energy Group, Inc",27.44,14499,27.44,27.44
▲ 1.53%,REX,REX American Resources Corporation,69.72,579,69.72,69.72
▼ -7.44%,RNET,"RigNet, Inc",3.11,104989,3.11,3.11
▼ -2.16%,REI,"Ring Energy, Inc",1.135,56982,1.135,1.165
▲ 0.33%,RDS.A,Royal Dutch Shell plc,32.395,524227,32.235,32.395
▲ 0.13%,RDS.B,Royal Dutch Shell plc,30.63,253167,30.6,30.63
▼ -3.73%,RES,"RPC, Inc",3.1,37228,3.1,3.1
▼ -0.86%,SSL,Sasol Limited,8.07,217397,8.07,8.095
▲ 0.13%,SLB,Schlumberger Limited,19.505,1487200,19.385,19.715
▼ -0.08%,STNG,Scorpio Tankers Inc,13.3,18219,13.3,13.3
▲ 1.07%,CKH,Seacor Holdings Inc,27.37,478,27.37,27.37
▲ 0.26%,SHLX,"Shell Midstream Partners, L.P",11.68,11938,11.68,11.76
▼ -3.65%,SHI,Sinopec Shanghai Petrochemical Company Limited,22.15,12674,22.15,22.15
▼ -2.02%,SM,SM Energy Company,3.63,367240,3.59,3.7
▼ -4.73%,SWN,Southwestern Energy Company,2.515,1409848,2.505,2.615
▲ 0.93%,SRLP,Sprague Resources LP,17.32,10913,17.32,17.32
▼ -0.72%,SU,Suncor Energy Inc,16.58,357551,16.355,16.63
▼ -2.67%,SNDE,Sundance Energy Australia Limited,2.92,35812,2.92,2.92
▼ -2.47%,TALO,Talos Energy Inc,7.51,46811,7.46,7.61
▼ -3.19%,TRGP,Targa Resources Corp,18.18,145292,18.18,18.495
▲ 6.71%,TH,Target Hospitality Corp,1.59,19500,1.59,1.59
▲ 0.03%,TRP,TC Energy Corporation,44.615,66053,44.37,44.615
▲ 0.13%,TCP,"TC PipeLines, LP",31.3,3788,31.27,31.3
▼ -2.58%,FTI,TechnipFMC plc,7.735,387567,7.655,7.815
▼ -1.61%,TK,Teekay Corporation,2.44,30267,2.44,2.44
▼ -1.38%,TNK,Teekay Tankers Ltd,14.3,54988,14.3,14.55
▲ 1.47%,TELL,Tellurian Inc,1.035,1123595,1.03,1.05
▼ -1.24%,TS,Tenaris S.A,12.79,533972,12.71,12.92
▼ -2.49%,TTI,"TETRA Technologies, Inc",0.7801,331757,0.7801,0.7801
▼ -2.00%,WMB,"The Williams Companies, Inc",18.825,683984,18.745,19.11
▲ 0.34%,TOT,TOTAL S.A,38.38,93889,38.245,38.38
▼ -0.91%,RIG,Transocean Ltd,2.17,1691306,2.13,2.18
▲ 2.48%,UEC,Uranium Energy Corp,1.035,99996,1.035,1.035
▼ -3.19%,SLCA,"U.S. Silica Holdings, Inc",3.495,111976,3.495,3.56
▼ -0.12%,VAL,Valaris plc,0.6492,538738,0.637,0.656
▼ -0.64%,VLO,Valero Energy Corporation,57.61,245797,56.98,57.81
▲ 0.86%,VVV,Valvoline Inc,21.18,43577,21.18,21.18
0.00%,VET,Vermilion Energy Inc,4.72,148087,4.69,4.76
▼ -0.90%,VNOM,Viper Energy Partners LP,10.425,12653,10.425,10.425
▼ -0.62%,WES,"Western Midstream Partners, LP",9.66,66383,9.66,9.78
▼ -2.20%,INT,World Fuel Services Corporation,22.895,11694,22.895,22.895
▼ -1.02%,WPX,"WPX Energy, Inc",5.85,303573,5.815,5.9
▼ -0.82%,WTI,"W&T Offshore, Inc",2.42,77931,2.42,2.42
▼ -0.53%,YPF,YPF Sociedad Anónima,6.625,20491,6.625,6.625
▼ -4.18%,ZN,"Zion Oil & Gas, Inc",0.2108,322082,0.2108,0.2108
